week,Alfredo Sauce,Anchovies,Artichoke,Artichokes,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomato Sauce,Tomatoes,Zucchini,Nduja Salami
18,18,26,49,141,19,58,87,55,55,31,25,12,35,121,12,152,63,42,63,28,63,28,95,73,18,556,21,65,47,49,106,114,42,112,70,28,985,190,28,25,18,47,12,40,217,73,89,20,12,19,25,384,312,47,25,49,25,24,204,54,40,12,736,518,55,18
19,17,30,43,127,29,59,104,54,54,27,36,14,38,146,14,163,56,43,56,44,56,17,101,70,19,574,27,81,44,43,134,103,43,99,63,44,1046,207,44,27,19,44,14,54,237,56,98,21,14,29,36,391,321,44,36,50,36,27,193,41,48,14,815,539,39,19
20,17,31,43,111,20,65,94,48,48,25,23,12,42,129,12,162,62,44,62,37,62,14,95,57,20,537,23,64,43,43,129,105,44,105,67,37,953,191,37,25,20,43,12,39,218,47,89,17,12,20,23,399,310,43,23,40,23,14,199,33,49,12,730,520,42,20
21,23,24,37,107,36,65,87,52,52,29,29,4,46,138,4,147,60,47,60,33,60,18,104,57,21,506,27,65,34,37,126,90,47,97,68,33,924,172,33,29,21,34,4,36,195,50,72,24,4,36,29,381,293,34,29,38,29,20,178,38,34,4,705,498,37,21
22,17,31,58,109,25,76,84,47,47,25,34,12,50,162,12,171,71,38,71,38,71,15,90,78,17,608,39,73,45,58,142,110,38,129,59,38,997,197,38,34,17,45,12,39,213,57,69,14,12,25,34,396,316,45,34,34,34,20,215,35,35,12,770,556,45,17
23,21,34,42,110,36,67,80,47,47,22,27,5,33,123,5,147,64,35,64,40,64,17,89,59,24,537,25,65,38,42,128,112,35,106,63,40,962,195,40,32,24,38,5,33,200,49,98,20,5,36,27,390,315,38,27,55,27,17,195,39,43,5,738,521,50,24
24,23,38,52,112,19,71,68,34,34,31,32,14,34,123,14,175,58,30,58,46,58,13,106,71,23,556,28,61,27,52,140,80,30,110,73,46,920,179,46,23,23,27,14,38,167,51,91,22,14,19,32,377,280,27,32,44,32,19,210,41,47,14,707,518,38,23
25,17,33,54,121,25,65,77,52,52,29,25,7,45,148,7,184,61,28,61,35,61,18,85,71,20,569,29,74,31,54,127,116,28,115,63,35,980,188,35,31,20,31,7,43,203,68,97,15,7,25,25,398,336,31,25,44,25,17,210,41,53,7,729,563,49,20
26,16,29,48,138,29,57,116,52,52,32,27,10,44,138,10,165,66,49,66,35,66,27,111,75,22,574,23,71,35,48,135,116,49,114,76,35,1066,227,35,29,22,35,10,42,249,68,100,26,10,29,27,425,351,35,27,49,27,27,213,51,51,10,813,565,54,22
27,17,22,35,99,36,66,82,48,48,22,34,11,33,140,11,173,77,32,77,26,77,9,95,58,20,525,33,74,32,35,107,101,32,112,53,26,950,201,26,31,20,32,11,43,200,48,88,15,11,36,34,383,340,32,34,34,34,23,194,31,54,11,706,530,40,20
28,17,25,52,116,30,67,75,54,54,28,30,14,31,137,14,167,70,34,70,45,70,22,102,70,16,580,31,75,49,52,121,104,34,122,65,45,981,182,45,33,16,49,14,42,194,54,79,18,14,30,30,381,322,49,30,37,30,18,203,33,42,14,744,536,48,16
29,19,32,41,125,30,66,88,47,47,25,43,7,25,137,7,169,72,44,72,31,72,17,85,54,19,537,30,82,32,41,107,116,44,113,64,31,985,183,31,28,19,32,7,54,212,47,108,22,7,30,43,381,338,32,43,52,43,13,188,37,56,7,744,542,57,19
30,13,30,44,95,20,57,100,47,47,24,24,10,29,114,10,155,71,45,71,33,71,11,87,63,17,509,23,62,27,44,115,110,45,115,58,33,926,200,33,29,17,27,10,33,223,53,86,13,10,20,24,378,319,27,24,49,24,19,201,30,37,10,705,501,42,17
31,21,33,61,111,32,63,86,44,44,18,25,7,42,124,7,189,70,39,70,33,70,15,76,76,25,528,22,60,30,61,122,99,39,131,58,33,955,176,33,26,25,30,7,34,205,59,92,20,7,32,25,389,314,30,25,48,25,15,208,42,44,7,717,509,40,25
32,16,36,51,124,28,62,86,40,40,29,22,11,44,123,11,166,66,36,66,37,66,24,122,71,14,563,22,57,36,51,137,96,36,117,77,37,994,211,37,19,14,36,11,38,216,56,96,24,11,28,22,418,303,36,22,52,22,20,226,38,44,11,772,515,50,14
33,16,30,53,111,28,59,100,42,42,28,24,9,36,128,9,168,61,46,61,33,61,16,84,79,16,539,26,66,38,53,113,106,46,114,60,33,959,201,33,31,16,38,9,35,219,57,89,15,9,28,24,374,311,38,24,43,24,26,199,43,46,9,737,504,48,16
34,22,30,40,96,21,65,64,43,43,32,25,9,32,116,9,148,66,26,66,45,66,16,97,54,11,493,26,58,26,40,131,90,26,106,63,45,866,172,45,25,11,26,9,33,182,48,74,14,9,21,25,355,283,26,25,40,25,14,177,30,34,9,653,489,39,11
35,22,26,37,90,30,59,77,52,52,22,28,14,33,121,14,165,59,26,59,36,59,13,89,53,13,505,22,66,43,37,120,116,26,96,52,36,945,205,36,36,13,43,14,30,193,48,104,15,14,30,28,371,339,43,28,52,28,16,190,32,52,14,712,505,49,13
36,16,23,51,125,32,66,81,40,40,24,37,13,43,142,13,186,70,38,70,34,70,22,103,68,14,565,36,63,32,51,126,104,38,121,61,34,1009,196,34,27,14,32,13,36,215,75,100,23,13,32,37,371,326,32,37,46,37,17,228,53,54,13,754,547,53,14
37,20,31,49,112,27,61,90,49,49,28,30,10,32,116,10,184,66,33,66,34,66,17,95,62,22,532,25,59,41,49,112,105,33,115,67,34,974,190,34,20,22,41,10,39,217,64,91,23,10,27,30,397,327,41,30,47,30,13,203,40,44,10,731,509,41,22
38,17,28,31,83,13,50,68,33,33,23,12,4,27,74,4,121,51,30,51,25,51,18,68,46,11,358,13,34,19,31,98,69,30,82,54,25,674,140,25,19,11,19,4,15,152,46,73,11,4,13,12,290,232,19,12,41,12,15,139,30,32,4,495,376,33,11
39,26,33,36,105,32,66,97,53,53,29,29,11,32,128,11,171,75,37,75,41,75,22,100,55,20,534,25,71,35,36,129,105,37,111,60,41,1008,212,41,36,20,35,11,35,225,56,96,16,11,32,29,409,356,35,29,47,29,19,174,33,49,11,749,540,40,20
40,7,26,36,81,36,52,66,33,33,18,28,9,33,106,9,143,62,33,62,36,62,12,70,58,15,450,27,46,40,36,113,65,33,98,48,36,794,134,36,17,15,40,9,29,163,36,75,12,9,36,28,300,240,40,28,34,28,22,151,22,41,9,615,430,33,15
41,20,32,32,112,37,69,74,48,48,31,24,7,25,120,7,155,60,34,60,42,60,23,90,52,16,524,28,67,44,32,116,102,34,92,67,42,933,178,42,27,16,44,7,40,186,56,99,15,7,37,24,363,313,44,24,52,24,20,173,28,47,7,702,518,51,16
42,25,32,47,94,20,66,84,27,27,23,23,8,40,130,8,154,57,35,57,35,57,20,72,65,23,501,28,62,34,47,128,83,35,104,49,35,876,184,35,25,23,34,8,37,202,43,80,13,8,20,23,345,285,34,23,38,23,18,160,24,42,8,682,474,48,23
43,16,26,33,90,31,62,84,33,33,20,26,8,21,100,8,146,58,34,58,35,58,11,62,49,18,434,30,49,35,33,100,71,34,91,51,35,810,147,35,19,18,35,8,30,196,48,80,15,8,31,26,301,270,35,26,35,26,16,147,33,45,8,610,436,30,18
44,26,25,61,106,34,76,84,46,46,38,26,7,38,134,7,185,78,42,78,41,78,14,103,83,17,553,33,63,33,61,119,79,42,139,75,41,970,168,41,24,17,33,7,39,203,48,85,20,7,34,26,391,304,33,26,43,26,22,191,36,42,7,730,515,28,17
45,25,21,52,108,28,71,85,50,50,20,19,12,49,133,12,179,68,40,68,33,68,12,82,67,22,511,25,59,36,52,116,94,40,120,65,33,944,167,33,27,22,36,12,32,197,50,98,24,12,28,19,398,313,36,19,59,19,15,201,43,39,12,712,498,40,22
46,16,25,31,108,23,59,82,50,50,29,26,8,39,124,8,150,68,34,68,35,68,10,91,45,25,514,27,58,27,31,113,102,34,99,66,35,908,171,35,18,25,27,8,40,178,54,105,21,8,23,26,399,318,27,26,55,26,14,188,42,50,8,670,525,45,25
47,19,34,54,142,33,72,110,57,57,42,32,13,39,154,13,192,86,44,86,61,86,30,110,75,24,688,36,79,48,54,151,125,44,140,79,61,1186,222,61,36,24,48,13,43,238,76,124,20,13,33,32,473,408,48,32,62,32,21,223,52,62,13,886,668,68,24
48,22,25,54,122,28,71,83,47,47,23,22,8,40,141,8,197,81,38,81,39,81,19,87,71,11,575,31,70,42,54,117,110,38,135,59,39,1013,193,39,25,11,42,8,45,208,67,111,18,8,28,22,397,354,42,22,56,22,17,218,40,55,8,741,554,53,11
49,16,29,55,110,25,74,80,47,47,24,20,9,33,132,9,177,69,33,69,42,69,23,80,74,21,553,36,63,35,55,120,107,33,124,57,42,959,187,42,22,21,35,9,41,205,52,103,11,9,25,20,384,325,35,20,54,20,19,198,24,49,9,726,539,59,21
50,19,25,52,129,29,66,82,43,43,34,20,11,39,137,11,168,51,36,51,41,51,27,104,68,14,556,28,70,34,52,118,100,36,103,83,41,962,178,41,35,14,34,11,35,203,69,89,30,11,29,20,380,324,34,20,43,20,16,216,48,46,11,734,525,60,14
51,13,12,28,77,18,40,83,30,30,22,17,5,18,84,5,124,45,41,45,29,45,12,78,35,16,359,19,47,29,28,75,72,41,73,50,29,693,140,29,23,16,29,5,24,154,38,85,20,5,18,17,270,247,29,17,40,17,7,142,33,45,5,522,369,36,16
52,8,16,25,50,15,26,44,22,22,8,11,4,16,63,4,74,27,18,27,11,27,8,33,37,6,252,12,35,21,25,51,52,18,52,21,11,442,94,11,19,6,21,4,16,95,29,37,7,4,15,11,171,154,21,11,20,11,12,96,20,17,4,339,232,27,6
